x,y,z
-0.36844775,-0.11975517,0.96791583
0.40358466,-2.6393945,0.94142056
-2.809808,1.5925024,2.352603
-0.5874652,2.5727527,-0.088664904
-0.9517933,0.502403,0.9849278
0.15364552,4.8395224,1.6528852
-0.8283789,-0.3765925,-2.4302416
-2.3852026,1.4679594,2.8759272
0.121330746,0.054211203,11.864418
2.3411057,0.39423347,0.4965329
-0.08942091,-0.39841703,11.304849
-1.898211,3.8060799,3.9111748
0.39732698,2.586473,0.71295106
-0.18488783,2.8094337,3.1969306
-1.683131,1.5055618,1.8897356
-0.52798057,3.4187503,-0.43126243
-2.7298255,3.2500093,4.0331087
2.5345533,-1.2106178,4.0376706
-0.22217652,0.012709603,11.826001
-0.11278377,3.9235227,2.4660778
3.1634264,0.37231556,0.59005034
6.1387506,5.3651414,-0.87313074
0.5036337,1.4557612,0.7051947
0.28618833,-0.25398073,11.237171
-0.15096596,2.5698469,3.4213843
3.1060648,-0.6882464,1.7844672
0.35307732,-2.7082653,1.5028542
0.43011135,-2.3844948,1.2102976
-2.8749402,-0.8109819,0.163632
1.3577929,-1.631722,0.65341264
2.6183236,-0.7532657,0.543604
-0.28168425,2.8500822,2.6905994
2.0699198,-1.9831553,0.5424718
-1.9203105,-1.2179971,0.29450575
4.3766184,1.4891012,0.8659675
3.442488,-0.63760793,0.70298356
4.4674735,5.8497925,-5.946468
-1.4807062,-2.6937478,3.341957
0.96323615,-1.5201894,1.4963317
-2.463677,1.7428282,2.236281
3.6322894,0.10893835,-0.2463195
-0.80333894,0.46719605,-3.7919343
-1.0256531,0.021776386,1.7025601
-0.9690575,0.2797355,-3.181584
-1.3657737,2.678868,2.8620257
0.5068666,3.1690438,2.452071
3.3768728,-0.3088109,1.1986862
-1.7371248,-2.5512545,3.201046
3.787537,-0.61700964,2.7165217
-0.12843266,2.7651927,0.04849286
0.8129751,-1.3846532,-3.154067
5.3789062,5.452951,-0.97579086
-2.0771282,-0.49586597,-3.8164165
2.4363556,-1.2242641,3.7946644
2.2258735,-1.0153416,4.0472555
-0.14297247,4.8910108,0.95007646
3.6902094,1.2061157,0.5880668
-3.2110324,0.75656927,0.7149038
3.364494,-0.07555542,-0.4550949
-1.8474442,1.2908274,2.7330017
3.3250751,-0.5092567,1.8254759
3.4173932,0.49151334,0.40772957
3.5360348,0.222125,-0.6317703
2.8518953,-0.9766044,0.6486144
-1.1371912,2.0590672,3.2965739
0.22009745,-2.144667,-3.7020414
4.0490766,0.5776783,-0.5122092
-0.4952397,0.21990843,11.423147
-0.64319617,0.089652486,2.424147
4.384192,5.718258,-6.0886426
-2.5280507,2.2567532,2.1298587
-0.57348025,2.016233,2.0164464
2.339909,-0.9245469,-0.04068482
-3.0730622,1.2937797,1.6141293
-1.4959913,-1.1807225,3.1922119
-0.7105091,0.5029975,8.910986
-0.37900683,3.3384387,-0.3271325
4.430018,1.1013509,-0.10593655
0.30241445,4.3485017,2.455367
-1.3277389,-3.7853043,0.9090248
-3.1512558,1.4629096,1.6680306
-2.1721804,2.4958189,2.20209
-1.0570849,0.14867389,3.1208632
-2.8339689,-1.3919288,-0.106815994
0.15790433,-2.2953856,1.0137819
1.4155438,1.2465363,2.0036387
-0.2384433,0.84065443,-2.8073056
1.4640027,0.31827745,-0.3952474
4.4060245,1.1829058,0.90951407
-2.7443569,0.06259813,-3.323151
-3.3051176,-2.2568636,-0.71583116
0.5113248,2.4625123,-0.3484205
2.203926,-2.1180549,-0.20549482
0.63342166,0.5678008,0.9766317
-1.1214721,-1.6482953,-1.5998462
0.7104843,-1.6859394,-2.1266096
3.514846,-1.0087357,2.910939
1.580857,0.22580358,0.45084387
0.25467646,4.14677,2.79678
0.50165987,-3.0216088,0.82979906
4.2963696,0.93973786,-0.16242264
0.22703978,4.404332,2.3182812
1.0771338,1.5348048,0.18368386
2.349682,-2.374058,-0.17467234
5.481749,-0.69089746,3.2096162
1.9632121,-0.08889875,1.8188968
-0.06222807,-2.1536565,-1.0578747
4.2048974,1.0639608,0.6541525
3.4303746,-0.21269456,0.25029227
0.6402818,-1.5025653,-2.385469
1.3297722,-0.50176966,2.2485952
4.1465917,0.8989473,0.87122756
4.5761185,0.2565472,-0.8788768
-2.8596256,1.0560592,-2.91251
