x,y,z
9.734794,2.4153044,8.32621
12.348561,5.057545,8.333697
9.744201,1.3676069,5.881682
7.876691,7.031132,1.9315515
10.478114,2.9231896,4.8746943
7.7489066,1.2285025,1.7982099
9.549765,8.502984,-2.5607438
8.268231,1.1706278,7.2046504
13.481065,-4.7082515,2.778426
9.428631,3.7178288,8.725517
12.500385,-5.6866446,2.0452473
11.645976,9.731913,11.08437
10.542199,2.909338,4.6445255
8.389512,0.47583723,7.533846
9.658017,2.3396301,5.815287
5.9725666,4.1273313,3.139411
11.688504,10.33288,11.227772
12.36886,3.2711947,10.534052
12.767509,-5.8861303,2.8027482
10.460274,1.3693141,4.8575854
10.014245,4.8923717,7.6560473
13.784768,8.590042,2.2543917
12.6861315,3.312586,8.022525
12.781357,-5.58477,1.6377228
8.975874,-0.47114834,7.011168
12.202685,5.07112,9.337913
12.869674,5.1499686,4.9309244
12.395358,4.706886,6.8678308
5.920735,6.528991,5.8054633
11.545877,4.8424854,6.484916
11.484078,5.0448256,6.4304605
10.243709,0.6003938,7.5241876
9.503708,4.928908,8.640362
7.5098443,6.875097,6.4905963
13.014528,6.5651994,12.366783
10.769301,5.752961,8.550303
7.839987,1.9106824,-5.5862646
9.585873,4.2519207,6.0437493
9.701261,3.0332158,9.498721
8.786802,0.41693223,5.6424694
10.006982,5.3247786,7.0146427
5.4550233,7.9399877,-3.9530997
6.2403455,6.2210193,4.8145394
7.0547843,7.513892,0.63103807
11.553101,0.86509186,7.68525
9.741272,2.1316774,5.722803
9.736093,4.489107,9.301125
7.150368,5.6935773,4.0693116
13.853689,3.0553672,9.124326
9.222328,2.7502418,5.4270577
8.967707,7.9965034,-3.282977
13.281577,7.861174,2.1681051
6.953915,7.3763494,-3.2908638
12.03727,3.5453508,10.158407
12.261928,3.0306547,10.324617
7.573128,1.0912082,1.3359667
12.276363,4.7993145,6.1482925
6.53398,5.6689906,4.0245595
9.758917,5.5231247,6.4170694
9.850244,1.1799593,6.8775487
12.196284,5.0251513,9.182987
10.246093,5.08234,7.3998675
9.641328,5.6008434,6.3935976
9.364484,4.6849737,9.065947
9.573329,1.1440728,8.473822
8.355776,9.997698,0.20080525
10.745127,5.73105,5.3087654
12.902765,-5.62267,3.1614327
8.6950035,1.290121,9.062881
7.7229857,1.9342952,-5.6565905
10.065554,2.1299977,5.6627345
8.264992,1.0554272,7.101243
15.962653,5.8034244,3.0553212
9.541408,1.8073744,4.8064976
6.9444895,5.9109383,3.8054142
15.802406,-4.2603693,4.9922814
6.658047,4.9999332,3.5183663
11.174623,6.1783357,5.3292093
10.187474,1.4638991,4.2219515
7.1051745,7.5329876,5.9103584
9.738307,1.5019792,4.856038
10.02576,2.3190672,5.4826574
9.176906,0.42216057,8.340027
5.719086,6.5779943,5.623611
12.44748,4.690878,6.835277
10.90097,2.8800223,5.120871
6.335065,7.3798046,-1.7377782
12.439672,4.9314404,8.304405
13.0063,6.565435,12.341736
7.0851283,6.6254497,-0.08438879
5.557144,8.463702,5.225334
9.148679,8.159913,-2.1241019
7.509989,7.6246448,5.775135
10.226989,1.1601996,8.872939
7.5113025,8.473408,0.8780997
7.8209486,8.534658,-2.7675378
