x,y,z
-0.17121993,2.6264732,-2.0465946
2.1846647,-1.9118294,4.5312505
0.004370719,-0.1625192,4.3526306
0.31166777,0.41915718,1.4625704
1.3370028,2.0374682,-2.9658227
-0.106993034,2.9245553,-2.2100487
-0.12248032,-4.743413,2.6148736
0.7627622,-2.1873875,4.135955
-4.462915,1.0759768,7.4967527
-0.1861248,2.0308187,-0.6437951
-4.6730223,0.66977245,7.9467673
3.1429293,0.4510568,3.0161479
0.7810889,2.9299357,-2.9824378
-0.7477135,1.7113287,1.4311264
0.9691476,1.8707427,-1.3390313
3.6790907,-0.5613526,2.852384
3.3493757,0.90503126,2.7230332
-2.2549353,1.4746196,4.691036
-4.930075,1.0409573,7.5247254
1.1028693,2.3992887,-1.1983707
-0.00985009,2.250443,0.67793113
-0.9825653,-1.2473062,6.240462
2.0262632,-1.2365144,3.743105
-5.398958,1.1449072,7.5568976
-0.33541015,3.1579547,-0.16899197
2.9637146,-2.1075323,2.050051
0.89738595,1.000743,5.1294794
0.957609,0.114808224,4.3276367
3.0104167,-4.201333,0.527366
1.3054494,0.57511646,3.651239
1.188032,0.9610195,4.035478
1.1572715,1.7856073,-0.484301
-0.04827472,0.90837336,2.727075
2.3902814,-2.9270518,1.6538206
1.4175113,3.156895,-1.2006818
0.25372744,1.676356,-2.32256
-1.6037252,-0.5364099,7.1542
-0.1509044,1.4318646,2.659851
1.0327619,1.8643854,-4.3551755
0.15219067,2.366954,1.669072
1.2370057,1.7333392,0.6575256
-1.4606407,-2.655778,-3.6154182
0.09778672,0.19943802,2.23445
1.7713586,1.0363424,-5.0478435
1.8079631,0.18821304,3.7170978
1.383658,1.9448185,-2.3018932
2.3824356,-0.103021875,2.67537
0.5701494,-0.52939934,-1.5015097
2.966606,-0.14802356,4.957006
1.3548247,-0.8701916,4.429442
0.19596398,-4.3595796,2.9405382
-1.3519553,0.15524852,5.1170325
-1.2624679,1.7325423,0.3522855
-1.5175575,2.390457,3.0675583
-0.98222023,2.6052048,-0.42840987
-1.3334953,2.9028652,-2.3230448
0.27190942,0.63302255,4.659648
0.50429744,0.60033447,1.2288339
1.4546158,1.9932456,0.023347225
-0.030222604,2.5597415,2.5456884
2.0538468,1.7205787,2.6606092
-0.036541328,2.5100563,-1.3117063
1.39704,3.096803,-1.2273573
-0.05424208,1.1694278,3.1869576
2.654837,-0.12532255,3.841899
-1.9921234,-3.760569,0.9772576
0.6422578,4.095975,-2.9520776
-4.4508533,0.78469646,7.893158
0.25607944,-1.181791,3.1930966
-1.8345251,0.49614713,7.7302465
1.0009339,2.8550599,-2.87849
0.6895361,-0.7137525,4.193433
-1.2149099,2.0173848,0.8124155
0.3941172,2.5519466,-1.2091968
2.6164792,-3.9761753,2.3408067
-1.3330986,11.269548,2.1330895
2.1544933,-3.8800766,2.5217452
0.7334722,3.738328,-3.528084
0.54799384,3.3488724,-2.961627
2.8345578,-4.026846,2.363245
2.001692,-2.3331997,4.1371827
1.009669,1.2580539,1.7986921
1.4897217,-1.9688344,4.4040446
2.887016,-3.905749,0.9158557
1.1740267,-0.9767173,4.450766
0.92394024,0.06540811,3.3075383
-0.8300985,-1.1786568,-2.5765471
1.7926219,1.3333864,2.9176044
1.2661091,2.939141,-1.4601433
0.12692288,0.28472194,-4.2807317
1.557097,0.15464808,-3.2949111
0.542601,-4.7053757,3.3487735
3.3025157,-4.1589837,1.8980275
1.0518982,0.58692193,1.4406419
-0.7984245,-4.1244087,2.5607865
-1.1293792,-1.9481348,-2.9045978
3.0261462,-0.67332464,5.1913667
2.0430403,-1.9166167,4.3443813
-0.18521638,1.4776558,2.4576957
3.0442834,-4.100305,2.403919
0.73510516,3.6853673,-3.555891
0.42654628,3.3838868,-2.7423885
-0.45794892,2.2120433,1.6533449
2.951366,-4.046865,2.4808242
1.563744,5.9109573,2.9142802
-0.7616169,2.062359,1.4160906
-0.98091716,-1.5303335,-3.0894237
-0.20218582,1.3312669,2.6878052
0.0886316,1.7369859,1.3777888
-0.7623632,-1.2784572,-3.3512683
2.15589,0.45720622,3.0656247
0.14491417,2.8826394,0.97209674
-0.7412999,2.1536045,-2.5851226
-1.3395038,-1.3644233,-2.4356773
0.9609037,2.3572016,-1.1535085
-1.401031,-2.877229,-3.7072248
-0.5475475,2.5763686,0.8846581
1.336186,-2.1417253,4.304237
-1.6472201,-2.18338,-3.9378064
-1.7016809,-3.5241098,1.4796706
1.9346447,-0.97657704,4.6217904
1.6634358,-0.42033184,3.116261
-0.39066774,2.4952033,-1.3709958
4.029223,3.1805642,-4.3770413
1.0166589,0.23740911,5.365192
0.9762019,1.8581209,-1.6730573
2.9569616,0.8229804,4.082631
1.5270246,1.1089804,6.4611373
-0.122594915,1.9508741,0.64414597
0.55403656,2.7184038,-0.5848699
1.7994862,3.136448,-0.72608465
1.1066276,1.8337346,-1.3849344
-1.8018287,0.09815776,7.6775694
2.252108,0.52864057,3.1800356
1.8602895,1.1991615,2.7953439
1.2857527,2.2419987,-3.8851104
-0.70708764,2.8467224,-1.0408756
4.469741,-4.83367,3.1195855
1.618927,1.2923564,-3.9251196
0.867894,0.8109888,4.8049054
0.97795343,1.7900133,2.0365338
1.2905756,-1.7506822,5.1100445
2.119543,0.9377748,-2.22085
0.20544624,-4.572391,2.7054892
1.3158853,2.1614063,-2.4067087
0.77062684,1.8203515,3.5684767
-0.8658993,-1.5585816,-0.68434244
0.5119898,-0.6950075,4.0679736
0.66493136,0.030563852,4.5146337
0.07304544,2.4403806,-2.3841953
0.35755286,0.63289267,3.648028
2.1192389,-0.61862457,4.8400807
-2.274669,1.4605385,4.70306
-1.843667,-3.4635413,1.1097667
-0.19299735,-0.39909014,3.3913338
1.6052369,-1.6821947,4.5263224
1.1457626,2.528619,-3.530949
3.851049,-1.6502466,2.2827067
0.10650901,1.6282711,2.9597006
0.394128,1.6098422,-2.4049075
-1.8913612,-3.4593458,0.6758171
-1.2120689,-3.4085243,1.473432
0.773383,0.2764458,-4.447868
2.487753,0.27974585,4.5962496
2.6255877,-0.99891996,4.760126
3.054976,-4.0320415,1.2209127
-0.48028445,2.8226888,0.35217157
-0.5643898,1.4939986,2.0891726
-1.6735598,-0.47317863,7.348873
4.0035095,3.244418,-4.1904206
-0.86498404,1.0928038,3.248781
0.82531023,1.3696272,-4.1419926
-1.258353,-3.6736298,1.6662649
-0.71669245,-1.0333714,-2.4884465
1.1758801,1.599221,-2.6136694
0.660358,2.795851,-0.73500776
1.471242,1.4418744,6.520261
0.5051832,2.1850815,0.6804155
2.6288455,-2.7278874,2.777084
-1.1559771,1.1609977,1.4914455
1.1089209,1.4863415,-3.8012836
2.100506,-3.7961645,1.4422573
-4.1564736,0.975655,7.8279133
0.9862123,0.4954898,5.3330274
2.0315275,2.011992,4.032543
-1.8631219,-3.870699,1.0404018
0.2826414,-0.32741007,-1.9547774
2.2690678,1.4960743,2.7055993
1.6327921,-2.9658232,2.8643045
0.24660616,1.3560517,-0.8603255
0.31954628,0.9984355,2.434013
2.4077106,0.9302948,-2.3794706
-1.5450379,-2.3093963,-3.4701126
0.6749474,3.9569995,-3.2403498
-1.1169547,-1.4619148,-3.0386558
-1.7083267,-3.3112564,1.2548898
2.1672468,1.469429,3.0162003
-1.4623939,-2.02289,-3.4910402
1.0334861,1.8519543,-2.7537394
1.2302856,0.580563,-4.1682854
-0.012339197,2.1347046,-0.31582046
1.030653,1.9198041,0.33075696
3.6760736,-0.92517066,2.9218876
4.356789,-4.807115,3.224762
1.6051407,-0.3529018,-2.621997
-0.803001,2.5694869,-0.46114898
-1.3268703,11.274712,2.1393309
0.25072393,-0.38678235,-1.9026846
-1.899376,-3.6473415,0.8587901
3.1905975,1.0688225,2.675451
0.24851134,0.8928743,3.3265488
1.4432454,0.040967695,-2.6700983
-4.286178,0.8507935,8.005902
0.36981684,1.419727,-0.63574153
-0.13586691,-0.3550437,-4.0963225
1.2788837,-2.031473,4.277945
-1.1317916,-0.664383,5.708986
1.7560649,-3.0511975,3.0843925
-1.6576128,-3.2465189,0.5430382
-1.3630778,-1.2626387,-2.8508065
1.5015908,0.08292814,4.133503
-1.8193429,0.14790653,7.7080183
1.492162,0.8298566,4.4029007
2.287303,-3.3667243,1.4623123
-1.5425855,-2.2089915,-3.5197644
-1.9824984,-3.7938128,1.3912641
-1.7501519,-3.135927,0.44504827
2.5794468,-1.1421151,4.6209526
1.4487814,-1.5745264,2.5957325
1.7579031,5.7871113,3.1936488
0.09993954,2.5518167,2.656998
1.6379454,-1.1770387,2.8463805
-1.3546884,-2.3018584,-0.48126513
-0.86898124,3.9448478,3.3134027
1.6077194,-1.0776927,5.4207363
4.4858394,-4.6745224,2.9025621
1.0217172,1.8863952,-4.383369
-0.9194804,4.0379663,3.3901715
-1.6673241,0.4519381,12.466919
-0.15071607,2.132755,0.6215102
-0.027218066,0.77131355,3.3933449
-0.95290715,1.1550941,3.2793357
-1.1328316,-1.702871,-2.903655
-0.009518794,-1.0003966,3.7993953
1.6778395,1.6542577,-3.8652446
0.348641,3.6466837,-0.027439442
1.077988,0.51097375,-4.2396436
-0.6190781,2.004064,1.4415321
1.0535802,-0.3596271,5.369018
0.64532495,2.6107948,0.046787314
0.43977168,1.4096025,1.1873727
0.40085778,-0.085340045,4.0103145
0.6786036,0.842552,-3.5347254
-1.2121942,-3.9322321,1.8925027
0.92574227,-0.46679035,4.5613112
-1.6986389,2.1353762,-2.2343283
-0.5346848,2.5121748,-3.8036387
1.0453879,-1.3805841,2.9676533
2.321996,-0.46387002,4.2899137
0.9489553,1.3237951,4.9353604
0.86734986,-0.49569157,-1.7856351
-0.86575925,2.223242,-0.7391813
-0.64398843,3.503762,3.3993895
-0.012191055,3.0972686,-1.4065772
1.308017,1.6976881,0.54178363
-1.8000869,-0.094538346,7.5264173
0.38110828,0.9916742,-2.2137716
1.2403326,0.55138946,3.7055545
-1.6157067,-3.7989,1.6960051
1.4900147,0.47798085,4.2965717
2.6488044,1.1087121,2.4087775
0.57938087,3.234287,-3.1614907
-0.17287156,-0.8227733,-3.1729822
1.1010594,3.1226432,-0.93510294
1.9306217,1.4359473,-4.5970664
-0.41993964,-1.0135802,-3.5477674
0.043633915,0.5042954,1.0603043
0.6878799,0.27129716,-4.2198696
1.9566139,1.5686803,2.910652
2.3122149,-1.5066429,2.5200849
-0.421548,0.9836154,2.270275
1.2399695,0.7817917,3.2541115
-0.6192252,-3.9543986,2.7838385
0.5314904,-0.016488751,-4.232189
2.892511,-2.3788974,2.4784105
4.0323277,3.1635804,-4.444704
-1.0385807,2.6091876,2.1168065
1.5246753,1.6156389,-4.139566
-1.8400594,0.54068345,7.7415423
1.3542235,-1.9929175,4.5865216
1.786571,5.764364,3.2318745
-0.12347296,2.4263034,-1.9121623
0.85498464,2.0721662,-1.6754802
1.8758276,3.1466193,-0.59766054
1.6418905,2.744378,-0.63873506
0.6372333,0.18023518,4.511446
-1.1821458,0.17158544,5.9816604
-0.3278246,2.8133285,-0.093216054
-1.4874691,-0.6824451,7.0595636
3.0594237,-4.0553913,1.1985673
1.1759832,1.4145265,2.6441185
-1.1875341,-3.6399117,1.2348369
2.689505,0.64431906,3.7693903
-0.57287556,1.5837495,-1.8118745
1.0938246,-0.02661845,3.8455865
-1.1595654,-3.2562015,1.3092091
2.6122308,0.10261164,4.7020054
1.4341648,1.2449467,6.441915
-1.8891633,0.3877131,12.91604
0.087635055,2.4742796,2.6973941
-0.04094405,-0.077491894,-3.588279
0.5110099,1.7196174,-2.7102056
1.9210323,-1.2622833,4.508854
